City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Geraldton,AU,2021-07-31 19:36:31,-28.7667,114.6,61.12,67,75,14.97
101,Aksarayskiy,RU,2021-07-31 19:36:42,46.7924,48.0119,73.35,48,85,5.91
102,Sambava,MG,2021-07-31 19:36:43,-14.2667,50.1667,67.17,82,0,11.81
103,Mount Gambier,AU,2021-07-31 19:32:08,-37.8333,140.7667,40.91,93,9,6.91
104,East London,ZA,2021-07-31 19:36:23,-33.0153,27.9116,66.0,40,87,6.85
105,Vanimo,PG,2021-07-31 19:36:44,-2.6741,141.3028,76.23,89,44,4.27
106,Port Hawkesbury,CA,2021-07-31 19:36:44,45.6169,-61.3485,70.88,64,20,5.99
107,Sitka,US,2021-07-31 19:36:45,57.0531,-135.33,60.69,88,90,4.61
108,Aksu,CN,2021-07-31 19:33:34,41.1231,80.2644,75.67,32,0,3.78
109,Simao,CN,2021-07-31 19:36:45,22.7886,100.9748,65.64,99,100,1.92
110,Zhigansk,RU,2021-07-31 19:36:46,66.7697,123.3711,64.6,47,11,7.25
111,Saquarema,BR,2021-07-31 19:36:46,-22.92,-42.5103,69.94,76,83,5.17
112,Tigre,AR,2021-07-31 19:36:46,-34.426,-58.5796,63.3,53,0,6.91
113,Ancud,CL,2021-07-31 19:36:47,-41.8697,-73.8203,49.53,63,47,3.02
114,Sola,VU,2021-07-31 19:33:02,-13.8833,167.55,76.68,75,100,15.64
115,Esperance,AU,2021-07-31 19:32:01,-33.8667,121.9,49.84,72,8,29.33
116,Qeshm,IR,2021-07-31 19:36:47,26.9581,56.2719,93.07,77,100,1.05
117,Plettenberg Bay,ZA,2021-07-31 19:32:26,-34.0527,23.3716,61.47,42,14,3.83
118,Cherskiy,RU,2021-07-31 19:36:01,68.75,161.3,41.29,92,100,13.94
119,Hambantota,LK,2021-07-31 19:36:48,6.1241,81.1185,79.29,82,50,18.07
120,Codrington,AU,2021-07-31 19:31:47,-38.2667,141.9667,41.49,91,52,8.72
121,Korla,CN,2021-07-31 19:36:49,41.7597,86.1469,72.12,41,94,17.76
122,Mana,GF,2021-07-31 19:36:49,5.6592,-53.7767,83.08,74,8,9.46
123,Bonavista,CA,2021-07-31 19:36:49,48.6499,-53.1147,69.8,70,4,21.54
124,Shimoda,JP,2021-07-31 19:36:50,34.6667,138.95,76.1,84,11,4.72
125,Fort Nelson,CA,2021-07-31 19:36:50,58.8053,-122.7002,80.19,44,20,3.44
126,Paamiut,GL,2021-07-31 19:33:00,61.994,-49.6678,45.61,85,97,17.72
127,Ginda,IN,2021-07-31 19:36:51,30.6945,78.4932,65.75,91,48,2.51
128,Nouadhibou,MR,2021-07-31 19:36:51,20.931,-17.0347,71.58,83,12,20.71
129,Hithadhoo,MV,2021-07-31 19:36:03,-0.6,73.0833,81.5,71,91,3.06
130,Upernavik,GL,2021-07-31 19:36:52,72.7868,-56.1549,42.76,78,100,0.51
131,Comodoro Rivadavia,AR,2021-07-31 19:35:46,-45.8667,-67.5,51.66,24,0,16.11
132,Rawson,AR,2021-07-31 19:36:52,-43.3002,-65.1023,50.07,33,0,7.72
133,Shenzhen,CN,2021-07-31 19:36:54,22.5455,114.0683,86.27,93,92,6.6
134,San Patricio,US,2021-07-31 19:33:24,28.017,-97.5169,97.52,40,40,14.5
135,Durazno,UY,2021-07-31 19:32:08,-33.4131,-56.5006,62.55,45,0,3.44
136,Sri Aman,MY,2021-07-31 19:36:54,1.2376,111.4621,75.25,94,60,0.0
137,Cabo San Lucas,MX,2021-07-31 19:36:55,22.8909,-109.9124,99.81,65,40,5.01
138,Cape Town,ZA,2021-07-31 19:33:12,-33.9258,18.4232,57.27,85,75,1.99
139,Guerrero Negro,MX,2021-07-31 19:36:55,27.9769,-114.0611,85.32,48,5,11.36
140,Lasa,IT,2021-07-31 19:36:55,46.6166,10.7002,63.48,93,100,4.23
141,Basco,PH,2021-07-31 19:32:07,20.4487,121.9702,82.08,89,100,26.89
142,Chauk,MM,2021-07-31 19:36:56,20.8833,94.8167,80.56,79,100,14.92
143,Xinzhi,CN,2021-07-31 19:36:56,36.4989,111.7047,80.94,34,0,4.54
144,Caravelas,BR,2021-07-31 19:36:57,-17.7125,-39.2481,69.64,69,42,12.73
145,Krasnoye-Na-Volge,RU,2021-07-31 19:36:57,57.5125,41.2419,65.7,69,16,7.92
146,Xiaoweizhai,CN,2021-07-31 19:36:58,26.1903,107.5125,71.47,94,82,2.98
147,Olafsvik,IS,2021-07-31 19:36:25,64.8945,-23.7142,55.08,91,87,7.54
148,Oksfjord,NO,2021-07-31 19:36:58,70.2396,22.3479,50.07,93,100,5.3
149,Turukhansk,RU,2021-07-31 19:36:58,65.8167,87.9833,54.82,65,100,5.93
150,Hilo,US,2021-07-31 19:35:56,19.7297,-155.09,79.61,85,90,8.05
151,Nha Trang,VN,2021-07-31 19:36:59,12.25,109.1833,84.2,72,100,4.43
152,Chincha Alta,PE,2021-07-31 19:36:59,-13.4099,-76.1323,64.99,67,20,6.6
153,Kaitangata,NZ,2021-07-31 19:36:28,-46.2817,169.8464,47.28,97,100,2.77
154,Urumqi,CN,2021-07-31 19:37:00,43.801,87.6005,61.75,68,0,4.47
155,Carnarvon,AU,2021-07-31 19:37:00,-24.8667,113.6333,50.07,55,40,6.91
156,Port Blair,IN,2021-07-31 19:35:04,11.6667,92.75,82.09,81,100,17.16
157,Sergeyevka,KZ,2021-07-31 19:37:01,53.88,67.4158,66.58,76,100,5.77
158,Payson,US,2021-07-31 19:32:40,40.0444,-111.7321,92.01,44,40,1.01
159,San Cristobal,VE,2021-07-31 19:37:02,7.7669,-72.225,86.18,54,66,8.5
160,Lompoc,US,2021-07-31 19:34:48,34.6391,-120.4579,89.02,73,40,12.66
161,Sampit,ID,2021-07-31 19:37:02,-2.5333,112.95,73.53,96,16,2.66
162,Samaniego,CO,2021-07-31 19:37:03,1.3385,-77.5957,77.45,58,84,2.46
163,Torbay,CA,2021-07-31 19:37:03,47.6666,-52.7314,69.89,75,75,19.57
164,Ulaangom,MN,2021-07-31 19:37:03,49.9811,92.0667,58.01,71,100,3.91
165,Mitsamiouli,KM,2021-07-31 19:37:04,-11.3847,43.2844,76.87,71,0,5.3
166,Hofn,IS,2021-07-31 19:37:04,64.2539,-15.2082,50.02,88,34,10.45
167,Billings,US,2021-07-31 19:37:04,45.7833,-108.5007,95.29,24,40,11.5
168,Tasiilaq,GL,2021-07-31 19:35:54,65.6145,-37.6368,51.96,78,66,3.4
