City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
571,Vizinga,RU,61.0749,50.1031,56.79,90,51,4.38,broken clouds
572,Gao,ML,16.6362,1.637,96.78,31,74,6.49,broken clouds
573,San Ramon,US,37.7799,-121.978,77.22,56,1,1.01,clear sky
574,Paamiut,GL,61.994,-49.6678,48.61,85,100,3.76,light rain
575,Balaipungut,ID,1.05,101.2833,74.1,96,88,2.3,overcast clouds
576,Waipawa,NZ,-41.4122,175.5153,42.3,91,99,2.98,overcast clouds
577,Bundoran,IE,54.4778,-8.2809,61.65,65,68,11.56,broken clouds
578,Bonavista,CA,48.6499,-53.1147,71.6,66,68,17.69,broken clouds
579,Canon City,US,38.441,-105.2424,69.03,83,90,0.0,overcast clouds
580,Mortka,RU,59.3322,66.0214,58.91,96,39,5.23,light rain
581,Jimma,ET,7.6667,36.8333,60.35,98,72,1.95,moderate rain
582,Aasiaat,GL,68.7098,-52.8699,41.61,84,21,10.6,few clouds
583,Peleduy,RU,59.6289,112.7406,58.05,56,100,4.52,overcast clouds
584,Cascais,PT,38.6979,-9.4215,75.06,72,40,7.0,scattered clouds
585,Tarancon,ES,40.0085,-3.0073,79.66,24,66,10.22,broken clouds
586,La Rioja,ES,42.25,-2.5,69.04,47,89,5.79,overcast clouds
587,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,100,90,9.22,mist
588,Baker City,US,44.7749,-117.8344,65.91,94,90,0.0,mist
589,Homer,US,59.6425,-151.5483,67.77,83,75,3.44,broken clouds
590,Rairangpur,IN,22.2676,86.1751,78.24,90,99,6.17,overcast clouds
591,Nome,US,64.5011,-165.4064,48.27,87,90,8.05,light rain
592,Jatai,BR,-17.8814,-51.7144,84.02,20,11,8.81,few clouds
593,Vallenar,CL,-28.5708,-70.7581,85.82,8,0,4.47,clear sky
594,Maltahohe,NA,-24.8333,16.9833,58.64,21,0,6.53,clear sky
595,Baykit,RU,61.67,96.37,60.4,85,100,2.84,overcast clouds
596,Loding,NO,67.3,14.75,51.55,77,75,1.99,broken clouds
597,Mayumba,GA,-3.432,10.6554,73.44,87,90,6.78,overcast clouds
598,Igarka,RU,67.4667,86.5833,51.39,99,85,3.74,overcast clouds
599,Roebourne,AU,-20.7833,117.1333,63.37,37,0,14.12,clear sky
600,Koumac,NC,-20.5667,164.2833,62.87,66,22,7.96,few clouds
601,Antalaha,MG,-14.9003,50.2788,67.69,91,100,8.61,light rain
602,Tocopilla,CL,-22.092,-70.1979,66.69,64,53,6.55,broken clouds
603,Port-De-Bouc,FR,43.4,4.9833,82.96,34,0,18.41,clear sky
604,Sovetskiy,RU,61.3614,63.5842,58.57,93,73,5.48,broken clouds
605,Pitelino,RU,54.5777,41.8145,71.2,54,90,6.76,overcast clouds
606,Pierre,US,44.3683,-100.351,86.99,38,1,1.99,haze
607,Thunder Bay,CA,48.4001,-89.3168,68.56,54,75,8.05,broken clouds
608,Chemal,RU,51.4111,86.005,56.35,85,7,4.56,clear sky
609,Sangar,RU,63.9242,127.4739,62.82,58,35,1.97,scattered clouds
610,Martapura,ID,-3.4167,114.85,75.29,100,48,1.14,scattered clouds
611,Funadhoo,MV,6.15,73.2667,82.13,78,100,13.82,overcast clouds
612,Putnok,HU,48.3,20.4333,70.79,89,63,2.17,very heavy rain
613,Tyukhtet,RU,56.5389,89.3011,58.12,79,68,3.62,broken clouds
614,Manado,ID,1.487,124.8455,75.97,94,20,1.14,few clouds
615,Mangai,CD,-4.05,19.5333,77.54,24,97,2.42,overcast clouds
616,Rabo De Peixe,PT,37.8,-25.5833,74.71,83,75,19.57,broken clouds
617,Oranmore,IE,53.2683,-8.92,64.36,64,69,9.4,broken clouds
618,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.35,53,40,3.44,scattered clouds
619,Anloga,GH,5.7947,0.8973,82.62,81,76,13.38,broken clouds
620,Aksu,CN,41.1231,80.2644,80.83,15,100,3.69,overcast clouds
621,Shizunai,JP,42.3339,142.3669,73.24,93,100,7.07,overcast clouds
622,Wilmington,US,34.2257,-77.9447,92.98,73,75,8.05,broken clouds
623,Takaka,NZ,-40.85,172.8,51.98,91,91,1.48,overcast clouds
624,Svobodnyy,RU,51.4,128.1333,55.44,94,99,7.52,overcast clouds
