City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
644,Serebryansk,KZ,54.95,clear sky,49.6925,83.2892,"Gostinitsa ""Vodoley"""
645,Kahta,TR,90.77,broken clouds,37.7855,38.6237,Kommagene Hotel
646,Mattru,SL,74.14,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
647,Karhal,IN,81.81,overcast clouds,27.0003,78.9414,Ganga Bhavan
648,Ribeira Brava,PT,77.72,scattered clouds,32.65,-17.0667,Hotel do Campo
649,Guapiles,CR,93.47,overcast clouds,10.2159,-83.7866,Pachira Lodge
651,Amuntai,ID,73.18,overcast clouds,-2.4177,115.2494,Hotel Balqis
652,Lillehammer,NO,58.15,overcast clouds,61.1146,10.4674,Scandic Lillehammer Hotel
653,Xuddur,SO,75.07,overcast clouds,4.1213,43.8894,Banjanay Hotel
654,Sapouy,BF,80.51,broken clouds,11.5544,-1.7736,Auberge St Louis
656,Qaqortoq,GL,59.5,light rain,60.7167,-46.0333,Hotel Qaqortoq
658,Marrakesh,MA,93.27,few clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
659,Wapakoneta,US,76.78,overcast clouds,40.5678,-84.1936,Best Western Wapakoneta Inn
660,Kainantu,PG,58.08,overcast clouds,-6.2887,145.8655,Sylvester buku
661,Saint-Joseph,RE,66.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
662,Siteki,SZ,60.53,scattered clouds,-26.45,31.95,Siteki Hotel
663,Dasoguz,TM,82.35,clear sky,41.8363,59.9666,Ташауз Отел
664,Pangody,RU,59.92,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
665,Yola,NG,79.3,overcast clouds,9.2,12.4833,Muna Hotel
666,Pulivendla,IN,81.86,overcast clouds,14.4167,78.2333,Kothabalaji
668,Maloy,NO,64.24,broken clouds,61.9353,5.1136,Torget Hotell
671,Hami,CN,68.65,few clouds,42.8,93.45,Laoyutang Resort
672,Tabou,CI,77.16,overcast clouds,4.423,-7.3528,hotêl doufoulougou
673,Yichang,CN,82.04,light rain,30.7144,111.2847,Gezhouba Hotel
674,Cedar City,US,74.39,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
676,Sao Felix Do Xingu,BR,98.15,broken clouds,-6.6447,-51.995,Rio Xingu Camping
677,Rio Gallegos,AR,51.85,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
678,Terrace,CA,67.91,broken clouds,54.5163,-128.6035,Northern Motor Inn
679,Changli,CN,69.64,scattered clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
680,Biak,ID,75.31,overcast clouds,-0.9131,122.8766,Penginapan Kim
